tconst,titleType,startYear,runtimeMinutes,averageRating,numVotes
tt0008362,movie,1917,63,7.1,72
tt0008371,movie,1917,63,7.3,30
tt0008374,movie,1917,63,6.3,37
tt0008387,movie,1917,63,1.2,20
tt0008389,movie,1917,63,5.7,35
tt0008395,movie,1918,63,7,528
tt0008411,movie,1917,63,6.3,38
tt0008416,movie,1917,63,5.9,17
tt0008431,movie,1918,63,7,14
tt0008442,movie,1917,62,7.4,57
tt0008443,movie,1917,62,6.7,1397
tt0008458,movie,1917,62,6.5,102
tt0008489,movie,1917,62,6.5,162
tt0008496,movie,1917,62,7,18
tt0008498,movie,1917,62,6.4,102
tt0008499,movie,1917,62,6.2,838
tt0008510,movie,1917,62,5.5,9
tt0008519,movie,1917,62,5.9,813
tt0008536,movie,1917,62,7,181
tt0008539,movie,1917,62,5.6,26
tt0008541,movie,1917,62,5.4,104
tt0008544,movie,1917,61,7.6,26
tt0008550,movie,1917,61,6,117
tt0008551,movie,1917,61,5,48
tt0008561,movie,1917,61,6.3,107
tt0008571,movie,1917,61,6.6,87
tt0008579,movie,1917,61,5.3,23
tt0008608,movie,1917,61,6.7,38
tt0008623,movie,1917,61,7.2,23
tt0008634,movie,1917,61,6.3,506
tt0008652,movie,1917,61,6.1,140
tt0008662,movie,1917,61,5.6,50
tt0008663,movie,1917,61,7.4,1849
tt0008672,movie,1917,61,6.1,215
tt0008679,movie,1917,61,4.9,503
tt0008687,movie,1917,60,6.2,165
tt0008696,movie,1917,60,6.5,25
tt0008698,movie,1917,60,6,21
tt0008706,movie,1917,60,6.4,22
tt0008710,movie,1917,60,6.7,209
tt0008723,movie,1917,60,6.5,74
tt0008735,movie,1917,60,6.2,41
tt0008764,movie,1917,60,5.8,56
tt0008775,movie,1917,60,6.4,621
tt0008783,movie,1917,60,6.2,41
tt0008784,movie,1918,60,6,15
tt0008786,movie,1917,60,6.4,93
tt0008787,movie,1917,60,8.2,17
tt0008797,movie,1917,60,6.2,22
tt0008807,movie,1917,60,6.6,92
tt0008808,movie,1918,60,6.2,19
tt0008821,movie,1918,60,2.5,18
tt0008822,movie,1918,60,6.1,88
tt0008825,movie,1918,60,5.8,23
